Word,Meaning
abate,"to reduce in amount, degree, or intensity; lessen"
abdicate,"to formally give up power or responsibility"
aberrant,"deviating from what is normal or expected"
abeyance,"a temporary suspension or inactivity"
abhor,"to regard with extreme aversion or loathing"
abject,"extremely miserable; wretched"
abjure,"to renounce or give up under oath; to reject solemnly"
abrogate,"to officially or formally abolish or annul"
abscond,"to leave quickly and secretly to avoid detection"
abstruse,"difficult to understand; obscure"
accolade,"an expression of praise or admiration"
acerbic,"sharp or biting in tone or taste"
acquiesce,"to accept or comply without protest"
acrimonious,"bitter and angry, especially in speech or behavior"
admonish,"to warn or scold someone firmly"
adroit,"skillful and adept, especially in handling difficult situations"
adulation,"excessive praise or admiration"
adulterate,"to make impure by adding inferior or improper ingredients"
adversary,"an opponent or enemy"
advocate,"to publicly support or recommend; a person who supports or recommends a cause or policy"
aesthetic,"pertaining to beauty or the arts"
affable,"friendly, pleasant, and easy to talk to"
affinity,"a natural liking or attraction to someone or something"
alacrity,"cheerful readiness or willingness"
alias,"a false or assumed identity"
alienate,"to cause someone to feel isolated or estranged"
alleviate,"to make suffering, pain, or burden less severe"
altruism,"selfless concern for the well-being of others; unselfishness"
ambivalent,"having mixed feelings or contradictory ideas about something or someone"
ameliorate,"to make something better or more tolerable"
amenable,"open and responsive to suggestion; easily persuaded or controlled"
amorphous,"lacking a definite form or shape"
anachronistic,"outdated or chronologically misplaced"
analogous,"comparable in certain respects; similar"
anarchy,"a state of disorder and chaos due to the absence of authority or government"
anecdote,"a short and amusing or interesting story about a real incident or person"
animosity,"strong hostility or ill will"
annex,"to add or attach, especially to a larger or more significant thing"
anomaly,"something that deviates from what is standard, normal, or expected"
anonymous,"of unknown identity or name"
antagonism,"active hostility or opposition"
antediluvian,"extremely old or ancient; prehistoric"
antithesis,"a person or thing that is the direct opposite of someone or something else"
apathy,"lack of interest, enthusiasm, or concern"
aplomb,"self-confidence or assurance, especially in a demanding situation"
appease,"to bring to a state of peace, quiet, ease, or calm; to soothe"
apprehensive,"anxious or fearful that something bad or unpleasant will happen"
aptitude,"natural ability or talent"
arcane,"understood by few; mysterious or secret"
archaic,"very old or old-fashioned"
arduous,"involving or requiring strenuous effort; difficult and tiring"
artifice,"clever or cunning devices or expedients, especially as used to trick or deceive others"
ascertain,"to find out definitely; to determine"
ascetic,"characterized by self-discipline and self-denial for spiritual or personal improvement"
assiduous,"showing great care, attention, and effort"
assuage,"to make an unpleasant feeling less intense; to relieve or ease"
astute,"shrewd and clever; mentally sharp or quick"
audacious,"showing a willingness to take surprisingly bold risks"
augment,"to make something greater by adding to it; to increase"
auspicious,"conducive to success; favorable"
austere,"severe or strict in manner, attitude, or appearance"
autonomous,"acting independently or having the freedom to do so"
avarice,"extreme greed for wealth or material gain"
aversion,"a strong dislike or disinclination"
banal,"lacking originality, freshness, or novelty; trite"
belie,"to give a false impression; to contradict"
belligerent,"hostile and aggressive, ready to fight"
benevolent,"kind and generous; motivated by goodwill"
benign,"kindly; not harmful"
bequeath,"to pass on or leave (property or belongings) to someone"
berate,"to scold or criticize angrily"
bereft,"deprived of or lacking something, especially a nonmaterial asset"
bizarre,"very strange or unusual"
blatant,"done openly and unashamedly; completely lacking in subtlety"
bogus,"not genuine or true; fake"
boisterous,"noisy, energetic, and cheerful; rowdy"
bolster,"to support, strengthen, or reinforce"
bombastic,"high-sounding but with little meaning; inflated"
boon,"a thing that is helpful or beneficial; a favor or request"
brusque,"abrupt or offhand in speech or manner"
bucolic,"relating to the pleasant aspects of the countryside and rural life"
bureaucracy,"a system of government in which most decisions are made by state officials rather than elected representatives"
burgeon,"to begin to grow or increase rapidly; to flourish"
buttress,"to support or strengthen; a source of defense or support"
cacophony,"a harsh, discordant mixture of sounds"
cajole,"to persuade someone to do something by coaxing or flattery"
calamity,"an event causing great and often sudden damage, distress, or disaster"
callous,"showing or having an insensitive and cruel disregard for others"
callow,"inexperienced and immature"
candor,"the quality of being open and honest in expression; frankness"
capricious,"given to sudden and unaccountable changes of mood or behavior"
catharsis,"the process of releasing strong emotions through a particular activity or experience"
caustic,"sarcastic in a scathing and bitter way"
censure,"to express severe disapproval or criticism"
chagrin,"distress or embarrassment at having failed or been humiliated"
charlatan,"a person falsely claiming to have a special knowledge or skill; a fraud"
chicanery,"the use of deception or subterfuge to achieve one's purpose"
circumscribe,"to restrict within limits; to define or mark off carefully"
circumspect,"wary and unwilling to take risks; cautious"
clandestine,"kept secret or done secretively, especially because illicit"
coalesce,"to come together to form one mass or whole"
cogent,"clear, logical, and convincing"
coherent,"logical and consistent"
colloquial,"used in ordinary or familiar conversation; not formal or literary"
commensurate,"corresponding in size or degree; in proportion"
compendium,"a collection of concise but detailed information about a particular subject"
complacency,"a feeling of smug or uncritical satisfaction with oneself or one's achievements"
compliant,"inclined to agree or obey; submissive"
conciliatory,"intended or likely to placate or pacify; soothing"
concur,"to agree; to be of the same opinion"
condescending,"having or showing a feeling of patronizing superiority"
conducive,"making a certain situation or outcome likely or possible"
confound,"to cause surprise or confusion in someone, especially by acting against their expectations"
congenial,"pleasant or agreeable; suitable to one's taste or inclination"
connoisseur,"an expert judge in matters of taste or appreciation"
consensus,"a general agreement among a group or majority"
consternation,"feelings of anxiety or dismay, typically at something unexpected"
consummate,"to make complete or perfect; to bring to a state of perfection"
contempt,"the feeling that a person or a thing is beneath consideration, worthless, or deserving scorn"
contend,"to assert or argue a point; to compete"
contentious,"causing or likely to cause an argument; controversial"
contrite,"feeling or expressing remorse or penitence; affected by guilt"
conundrum,"a confusing or difficult problem or question"
convergence,"the process of coming together or meeting at a point"
convoluted,"extremely complex and difficult to follow"
copious,"abundant in supply or quantity"
cordial,"warm and friendly"
corpulent,"fat; having a large, bulky body"
corroborate,"to confirm or give support to"
countenance,"a person's face or facial expression"
covert,"not openly acknowledged or displayed"
covet,"to desire or want something intensely, often belonging to someone else"
cower,"to crouch down in fear"
crass,"lacking sensitivity, refinement, or intelligence"
credence,"belief in or acceptance of something as true"
credulous,"having or showing a readiness to believe things too readily; gullible"
cryptic,"having a meaning that is mysterious or obscure"
culpable,"deserving blame; guilty"
culminate,"to reach a climax or point of highest development"
culpable,"deserving blame; guilty"
culminate,"to reach a climax or point of highest development"
cultivate,"to foster the growth of; to nurture or develop"
cumbersome,"burdensome or difficult to carry or handle"
cursory,"hasty and therefore not thorough or detailed"
curtail,"to reduce in extent or quantity; to impose a restriction"
cynical,"doubtful or distrustful of the goodness or sincerity of human motives"
daunt,"to make someone feel intimidated or apprehensive"
dearth,"a scarcity or lack of something"
debacle,"a sudden and ignominious failure; a fiasco"
debilitate,"to make someone weak and infirm"
decimate,"to destroy or kill a large portion of"
decorum,"behavior in keeping with good taste and propriety"
deferential,"showing respect and humble submission"
defunct,"no longer existing or functioning"
deleterious,"causing harm or damage"
delineate,"to describe or portray something precisely"
demagogue,"a political leader who seeks support by appealing to popular desires and prejudices rather than by using rational argument"
demure,"reserved, modest, and shy"
denounce,"to publicly declare to be wrong or evil"
deplete,"to use up the supply or resources of"
depravity,"moral corruption or wickedness"
deprecate,"to express disapproval of"
deride,"to ridicule or mock"
derivative,"not original; based on something else"
desecrate,"to treat a sacred place or thing with violent disrespect; to violate"
desolate,"deserted; without inhabitants; barren"
despondent,"in low spirits from loss of hope or courage"
despot,"a ruler or person who holds absolute power, typically exercising it in a cruel or oppressive way"
destitute,"extremely poor; lacking the necessities of life"
deter,"to discourage or restrain from acting or proceeding"
detract,"to diminish or take away the worth or value of"
deviate,"to depart from an established course or norm"
devoid,"entirely lacking or free from"
didactic,"intended to teach, particularly in having moral instruction as an ulterior motive"
diffident,"modest or shy because of a lack of self-confidence"
dilemma,"a situation in which a difficult choice has to be made between two or more alternatives"
diminutive,"extremely or unusually small"
dirge,"a funeral song or tune"
disconcert,"to disturb the composure of; to unsettle"
discourse,"written or spoken communication or debate"
discrepancy,"a lack of compatibility or similarity between two or more facts"
discrete,"individually separate and distinct"
disdain,"the feeling that someone or something is unworthy of respect or consideration"
disgruntled,"angry or dissatisfied"
disparage,"to belittle or criticize"
disparate,"essentially different in kind; not allowing comparison"
disseminate,"to spread or disperse widely"
dissent,"to hold or express opinions that are at variance with those previously, commonly, or officially expressed"
distraught,"deeply upset and agitated"
divergent,"tending to be different or develop in different directions"
